indicator_class,indicator_name,indicator_payload,indicator_input_col,indicator_return_col,chart_area,chart_type,ind_type
Overlap Studies,BBANDS,"{'timeperiod': 5, 'nbdevup': 2, 'nbdevdn': 2, 'matype': 0}",real,"upperband,middleband,lowerband",overlays,line,nn
Overlap Studies,DEMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,EMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,HT_TRENDLINE,{},real,real,overlays,line,01
Overlap Studies,KAMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,MA,"{'timeperiod': 30, 'matype': 0}",real,real,overlays,line,n1
Overlap Studies,MAMA,"{'fastlimit': 0, 'slowlimit': 0}",real,"mama,fama",overlays,line,nn
Overlap Studies,MAVP,"{'minperiod': 2, 'maxperiod': 30, 'matype': 0}","real,periods",real,overlays,line,n1
Overlap Studies,MIDPOINT,{'timeperiod': 14},real,real,overlays,line,11
Overlap Studies,MIDPRICE,{'timeperiod': 14},"high,low",real,overlays,line,11
Overlap Studies,SAR,"{'acceleration': 0, 'maximum': 0}","high,low",real,overlays,line,n1
Overlap Studies,SAREXT,"{'startvalue': 0, 'offsetonreverse': 0, 'accelerationinitlong': 0, 'accelerationlong': 0, 'accelerationmaxlong': 0, 'accelerationinitshort': 0, 'accelerationshort': 0, 'accelerationmaxshort': 0}","high,low",real,overlays,line,n1
Overlap Studies,SMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,T3,"{'timeperiod': 5, 'vfactor': 0}",real,real,overlays,line,n1
Overlap Studies,TEMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,TRIMA,{'timeperiod': 30},real,real,overlays,line,11
Overlap Studies,WMA,{'timeperiod': 30},real,real,overlays,line,11
Momentum Indicators,ADX,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,ADXR,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,APO,"{'fastperiod': 12, 'slowperiod': 26, 'matype': 0}",real,real,Oscillators,line,n1
Momentum Indicators,AROON,{'timeperiod': 14},"high,low","aroondown,aroonup",Oscillators,line,1n
Momentum Indicators,AROONOSC,{'timeperiod': 14},"high,low",real,Oscillators,line,11
Momentum Indicators,BOP,{},"open,high,low,close",real,Oscillators,line,01
Momentum Indicators,CCI,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,CMO,{'timeperiod': 14},real,real,Oscillators,line,11
Momentum Indicators,DX,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,MACD,"{'fastperiod': 12, 'slowperiod': 26, 'signalperiod': 9}",real,"macd,macdsignal,macdhist",Oscillators,line,nn
Momentum Indicators,MACDEXT,"{'fastperiod': 12, 'fastmatype': 0, 'slowperiod': 26, 'slowmatype': 0, 'signalperiod': 9, 'signalmatype': 0}",real,"macd,macdsignal,macdhist",Oscillators,line,nn
Momentum Indicators,MACDFIX,{'signalperiod': 9},real,"macd,macdsignal,macdhist",Oscillators,line,1n
Momentum Indicators,MFI,{'timeperiod': 14},"high,low,close,volume",real,Oscillators,line,11
Momentum Indicators,MINUS_DI,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,MINUS_DM,{'timeperiod': 14},"high,low",real,Oscillators,line,11
Momentum Indicators,MOM,{'timeperiod': 10},real,real,Oscillators,line,11
Momentum Indicators,PLUS_DI,{'timeperiod': 14},"high,low,close",real,Oscillators,line,11
Momentum Indicators,PLUS_DM,{'timeperiod': 14},"high,low",real,Oscillators,line,11
